2025-07-02 10:14:56.656 | SUCCESS  | adapters.download_file:download_index:36 - Download successful from https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx
2025-07-02 10:14:58.223 | SUCCESS  | core.manipulate_df:simplify_dataframe:106 - Successfully simplified the Excel file for authorised medicines.
2025-07-02 10:14:58.236 | SUCCESS  | core.manipulate_df:simplify_dataframe:125 - Successfully archived and saved the new simplified file.
2025-07-02 10:14:58.236 | INFO     | __main__:<module>:28 - Authorised medicines DataFrame successfully simplified.
2025-07-02 10:14:58.239 | WARNING  | core.manipulate_df:clean_name_withdrawn:64 - The name Pemetrexed-pfizer is identical for both authorised and withdrawn medicines.
2025-07-02 10:14:58.239 | WARNING  | core.manipulate_df:clean_name_withdrawn:64 - The name Vantobra is identical for both authorised and withdrawn medicines.
2025-07-02 10:14:58.240 | WARNING  | core.manipulate_df:clean_name_withdrawn:64 - The name Fluenz is identical for both authorised and withdrawn medicines.
2025-07-02 10:14:58.241 | WARNING  | core.manipulate_df:clean_name_withdrawn:64 - The name Clopidogrel-ratiopharm is identical for both authorised and withdrawn medicines.
2025-07-02 10:14:58.242 | WARNING  | core.manipulate_df:clean_name_withdrawn:64 - The name Liprolog is identical for both authorised and withdrawn medicines.
2025-07-02 10:14:58.244 | SUCCESS  | core.manipulate_df:simplify_dataframe:116 - Successfully simplified the Excel file for withdrawn medicines.
2025-07-02 10:14:58.266 | SUCCESS  | core.manipulate_df:simplify_dataframe:125 - Successfully archived and saved the new simplified file.
2025-07-02 10:14:58.300 | INFO     | __main__:<module>:37 - Withdrawn medicines DataFrame successfully simplified.
2025-07-02 10:14:58.353 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Busulfan-fresenius-kabi.pdf has been renamed to Busulfan-fresenius-kabi_old.pdf due to an update.
2025-07-02 10:14:58.354 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Constella.pdf has been renamed to Constella_old.pdf due to an update.
2025-07-02 10:14:58.355 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Cimzia.pdf has been renamed to Cimzia_old.pdf due to an update.
2025-07-02 10:14:58.356 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Livmarli.pdf has been renamed to Livmarli_old.pdf due to an update.
2025-07-02 10:14:58.357 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Xydalba.pdf has been renamed to Xydalba_old.pdf due to an update.
2025-07-02 10:14:58.358 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Synjardy.pdf has been renamed to Synjardy_old.pdf due to an update.
2025-07-02 10:14:58.360 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Breyanzi.pdf has been renamed to Breyanzi_old.pdf due to an update.
