2025-05-19 14:45:40.555 | INFO     | __main__:<module>:25 - Ancien fichier trouvé, date de génération : 19-05-2025-14-35-05
2025-05-19 14:45:40.763 | SUCCESS  | adapters.download_file:download_index:34 - Téléchargement réussi depuis https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx
C:\Users\rouajul\Desktop\Fichiers ema_rcp\app\core\manipulate_df.py:61: UserWarning: Parsing dates in %d/%m/%Y format when dayfirst=False (the default) was specified. Pass `dayfirst=True` or specify a format to silence this warning.
  df_light["Last_updated_date"] = pd.to_datetime(
2025-05-19 14:45:41.394 | SUCCESS  | core.manipulate_df:simplify_dataframe:72 - Réussite de la simplification du fichier excel
2025-05-19 14:45:41.399 | SUCCESS  | core.manipulate_df:simplify_dataframe:81 - Réussite de la sauvegarde du fichier simplifié
2025-05-19 14:45:41.400 | INFO     | core.update_rcp:update_rcp_pdfs:58 - Début de la mise à jour des RCP PDFs
2025-05-19 14:45:41.400 | INFO     | core.update_rcp:detect_updated_rcp:9 - Début détection des médicaments mis à jour entre les fichiers CSV
2025-05-19 14:45:41.412 | SUCCESS  | core.update_rcp:detect_updated_rcp:13 - Fichiers CSV chargés : 'fichier_simplifie_19-05-2025-14-35-05.csv', 'fichier_simplifie.csv'
2025-05-19 14:45:41.414 | INFO     | core.update_rcp:detect_updated_rcp:35 - 0 médicaments détectés comme mis à jour
2025-05-19 14:45:41.415 | SUCCESS  | core.update_rcp:update_rcp_pdfs:64 - 0 médicaments à mettre à jour : []
2025-05-19 14:45:41.420 | INFO     | adapters.download_file:download_pdf:79 - Le fichier docs/Buprenorphine-neuraxpharm.pdf existe déjà. Téléchargement ignoré.
2025-05-19 14:45:41.420 | INFO     | adapters.download_file:download_pdf:79 - Le fichier docs/Ogluo.pdf existe déjà. Téléchargement ignoré.
2025-05-19 14:45:41.420 | INFO     | adapters.download_file:download_pdf:79 - Le fichier docs/Lyvdelzi.pdf existe déjà. Téléchargement ignoré.
